ScenarioID,Iteration,0
314,0,1.221449807357515e-06
314,1,1.2072520394297924e-06
314,2,1.2469233817917832e-06
314,3,1.2215933389815702e-06
314,4,1.2531900459395757e-06
314,5,1.2235363647449619e-06
314,6,1.2045693002623258e-06
314,7,1.1908286135003e-06
314,8,1.2058183060202041e-06
314,9,1.1173233850637916e-06
314,10,1.1569639380745981e-06
314,11,1.2689823744288617e-06
314,12,1.2808937732411887e-06
314,13,1.2544409963073544e-06
314,14,1.2210951973240004e-06
314,15,1.2342711851849314e-06
314,16,1.344736988637496e-06
314,17,1.2762166850967458e-06
314,18,1.1684074671504707e-06
314,19,1.360810158654435e-06
314,20,1.3533410425111372e-06
314,21,1.150566252353245e-06
314,22,1.2070690851846098e-06
314,23,1.223896386160227e-06
314,24,1.2601137948644512e-06
314,25,1.2597688770861848e-06
314,26,1.264796177749248e-06
314,27,1.2096813599958036e-06
314,28,1.2499226681133956e-06
314,29,1.2238519779584904e-06
314,30,1.241079605851215e-06
314,31,1.3374118230877515e-06
314,32,1.2584889510426379e-06
314,33,1.297113071688629e-06
314,34,1.2507287692028843e-06
314,35,1.232789722907943e-06
314,36,1.2188059833831516e-06
314,37,1.2469658503559231e-06
314,38,1.1672756295915395e-06
314,39,1.3239639580653108e-06
314,40,1.2278579832442723e-06
314,41,1.2703923299582562e-06
314,42,1.2303481304627692e-06
314,43,1.21857854675954e-06
314,44,1.3192496508078472e-06
314,45,1.2852998104652417e-06
314,46,1.2955875745875543e-06
314,47,1.2224095097219465e-06
314,48,1.2476513229779973e-06
314,49,1.1856622732098731e-06
314,50,1.1648855279785176e-06
314,51,1.2460539595242615e-06
314,52,1.3208653759043021e-06
314,53,1.240836579370094e-06
314,54,1.2137802206677901e-06
314,55,1.272448944209706e-06
314,56,1.1369316527268797e-06
314,57,1.2361615030837575e-06
314,58,1.204992794508047e-06
314,59,1.2989863141351408e-06
314,60,1.1638741524726868e-06
314,61,1.2452915834869004e-06
314,62,1.2274892438014445e-06
314,63,1.2927989510688446e-06
314,64,1.2419304433150794e-06
314,65,1.1830137464974858e-06
314,66,1.2279681063620901e-06
314,67,1.237674595009989e-06
314,68,1.2075718354765114e-06
314,69,1.1551741256744538e-06
314,70,1.2248248281056133e-06
314,71,1.131480333399034e-06
314,72,1.2255277160532914e-06
314,73,1.216484441351469e-06
314,74,1.2218656841038241e-06
314,75,1.1877941815806505e-06
314,76,1.2772103497791132e-06
314,77,1.263772896213302e-06
314,78,1.275954701998544e-06
314,79,1.2124725701844104e-06
314,80,1.2500098338424468e-06
314,81,1.2096775728263372e-06
314,82,1.191851525213045e-06
314,83,1.2402510022239614e-06
314,84,1.1866145340578216e-06
314,85,1.240165250159631e-06
314,86,1.1918601950080416e-06
314,87,1.1880137934153247e-06
314,88,1.2217837780112203e-06
314,89,1.188225655795043e-06
314,90,1.2726442907948164e-06
314,91,1.1615472752516957e-06
314,92,1.2685256543569474e-06
314,93,1.2912581436179625e-06
314,94,1.2349514004284864e-06
314,95,1.2013731883574407e-06
314,96,1.3215723612837224e-06
314,97,1.1983521236508225e-06
314,98,1.2559310305086664e-06
314,99,1.1688690053159798e-06
314,100,1.2521221096700101e-06
314,101,1.200091997686852e-06
314,102,1.1656166640907414e-06
314,103,1.1987131318525704e-06
314,104,1.1793873119306234e-06
314,105,1.2315321252125715e-06
314,106,1.3275956784502548e-06
314,107,1.3021688859012582e-06
314,108,1.2890278881884108e-06
314,109,1.2525942141430864e-06
314,110,1.226470115327102e-06
314,111,1.3082587603695977e-06
314,112,1.1349384657891436e-06
314,113,1.14473168479546e-06
314,114,1.2407407011297879e-06
314,115,1.1602103242401945e-06
314,116,1.1664900126738462e-06
314,117,1.2320305456637468e-06
314,118,1.1216215928361778e-06
314,119,1.2087651833809384e-06
314,120,1.2080714313500702e-06
314,121,1.2083885347060423e-06
314,122,1.1607551549542874e-06
314,123,1.222971539510914e-06
314,124,1.273560662275494e-06
314,125,1.1935390786601855e-06
314,126,1.1633985067272865e-06
314,127,1.2574328130253355e-06
314,128,1.2464760033863357e-06
314,129,1.318600524724187e-06
314,130,1.3007044237231177e-06
314,131,1.2497324505505514e-06
314,132,1.2367432850927437e-06
314,133,1.2028923470180535e-06
314,134,1.2345393689275372e-06
314,135,1.2019396166935728e-06
314,136,1.1264384896278986e-06
314,137,1.1960591740162412e-06
314,138,1.1795327184293377e-06
314,139,1.2255796422517293e-06
314,140,1.1616953831961065e-06
314,141,1.3292346690387386e-06
314,142,1.2552288592829027e-06
314,143,1.2144231669657403e-06
314,144,1.2312816775054712e-06
314,145,1.272355310446764e-06
314,146,1.2723349755478277e-06
314,147,1.2064973915405304e-06
314,148,1.267463634146934e-06
314,149,1.2439072384534306e-06
314,150,1.3080784494229366e-06
314,151,1.2885735313080373e-06
314,152,1.2027854803913925e-06
314,153,1.1699457949414076e-06
314,154,1.2180584171639204e-06
314,155,1.2376860611650822e-06
314,156,1.1874823841792209e-06
314,157,1.2010995269138658e-06
314,158,1.1697733487370342e-06
314,159,1.1910469968132909e-06
314,160,1.2076966512810327e-06
314,161,1.2443298558427273e-06
314,162,1.1674375899539545e-06
314,163,1.1678035804306986e-06
314,164,1.1994287109564176e-06
314,165,1.2512932309293703e-06
314,166,1.2025615532027618e-06
314,167,1.2255335046857892e-06
314,168,1.2201970746924371e-06
314,169,1.2042101021569836e-06
314,170,1.2312288259283443e-06
314,171,1.1883453633441072e-06
314,172,1.1981730012535388e-06
314,173,1.2635840825819459e-06
314,174,1.321769183329111e-06
314,175,1.2538452300752552e-06
314,176,1.1595934904296145e-06
314,177,1.3133039885787652e-06
314,178,1.2482995593853538e-06
314,179,1.2542649181411127e-06
314,180,1.2312786893966624e-06
314,181,1.1938127213301537e-06
314,182,1.2314740045986271e-06
314,183,1.1863502520499613e-06
314,184,1.2637289813415987e-06
314,185,1.256993711502761e-06
314,186,1.2518717933335183e-06
314,187,1.2211658681970268e-06
314,188,1.2116256367199528e-06
314,189,1.2433829229489417e-06
314,190,1.3173441687420392e-06
314,191,1.2628276481573878e-06
314,192,1.3393195894564547e-06
314,193,1.2540082361593244e-06
314,194,1.2028651357381524e-06
314,195,1.198610645750378e-06
314,196,1.2392048909625092e-06
314,197,1.3079613650174113e-06
314,198,1.2436624501624217e-06
314,199,1.245114832212344e-06
314,200,1.2537766838010985e-06
314,201,1.286746076926353e-06
314,202,1.1919471642423706e-06
314,203,1.3015693659081007e-06
314,204,1.1246619109383676e-06
314,205,1.2249639919068719e-06
314,206,1.1851778183765166e-06
314,207,1.233634784878278e-06
314,208,1.2731047791235226e-06
314,209,1.2462455045544715e-06
314,210,1.2032807436591205e-06
314,211,1.3148624066539326e-06
314,212,1.1680448259964057e-06
314,213,1.2044928456929922e-06
314,214,1.203352643054961e-06
314,215,1.2110531115172447e-06
314,216,1.192623104636303e-06
314,217,1.1942820717622744e-06
314,218,1.2384697758984297e-06
314,219,1.217462701131635e-06
314,220,1.249269329692925e-06
314,221,1.225495460611185e-06
314,222,1.2411579041453215e-06
314,223,1.136837926639673e-06
314,224,1.2908029702007057e-06
314,225,1.260886598002746e-06
314,226,1.2617728756047605e-06
314,227,1.2766309791053927e-06
314,228,1.2099292038842757e-06
314,229,1.225780923340344e-06
314,230,1.2803858089872256e-06
