ScenarioID,Iteration,0
397,0,9325531.846199404
397,1,9503255.7127066
397,2,8609548.094319755
397,3,9530342.45774753
397,4,8539225.838194873
397,5,9135118.602526873
397,6,9212236.877583362
397,7,8543615.452850908
397,8,10033883.725114854
397,9,9241589.838312889
397,10,8544024.637152964
397,11,8430236.572599882
397,12,9718219.317865986
397,13,8604941.23856174
397,14,9640833.859376157
397,15,10023214.496091448
397,16,8844132.338667007
397,17,9981158.722509818
397,18,9292520.565187022
397,19,9174982.020695936
397,20,9476096.301723773
397,21,9240899.154115908
397,22,9763377.511852046
397,23,7800925.092915407
397,24,9767125.963863906
397,25,9642516.2862864
397,26,8402391.563063415
397,27,9018963.98788137
397,28,9278603.509044863
397,29,9742188.797391146
397,30,9461766.711528184
397,31,9944040.679157991
397,32,8678686.117176956
397,33,9083062.769986242
397,34,9763343.035894215
397,35,9204451.323813813
397,36,9371144.234626131
397,37,9065247.019839106
397,38,9438737.978677956
397,39,9564638.555841701
397,40,9267351.515683863
397,41,9045804.473017372
397,42,9429441.291736579
397,43,8907585.512151202
397,44,9632032.082688533
397,45,9270039.590881305
397,46,8126110.784117966
397,47,9504101.084571747
397,48,8863827.06398704
397,49,9530739.719992347
397,50,9985729.989544116
397,51,9020150.825459056
397,52,9303383.280221477
397,53,9490100.575813951
397,54,9696787.14232617
397,55,8988886.35713923
397,56,10051554.095140435
397,57,9358333.008995904
397,58,9190314.044635367
397,59,9924019.339408904
397,60,10808813.251744768
397,61,9538810.256160185
397,62,9155318.424601397
397,63,9661476.872656453
397,64,8531344.44918047
397,65,9588555.827167036
397,66,9343020.957991261
397,67,8569897.582837604
397,68,9809564.720824664
397,69,8861129.312634164
397,70,9699426.533800647
397,71,8923114.245328866
397,72,9559595.937242754
397,73,8595479.776014855
397,74,8834276.032701796
397,75,9025634.61258582
397,76,8860149.320539178
397,77,9477761.436363176
397,78,9525618.82878398
397,79,8386623.452722783
397,80,9025903.318504214
397,81,8923329.560928764
397,82,9942267.57846814
397,83,9060634.127726948
397,84,9420592.933446769
397,85,9026217.475976378
397,86,9375317.053818729
397,87,8735136.33576873
397,88,9436853.275878869
397,89,9065037.290425748
397,90,9794552.340586636
397,91,8847973.960445615
397,92,9837641.371913651
397,93,9129689.749457201
397,94,9793651.726004621
397,95,8948587.325346112
397,96,9349693.623904997
397,97,9637416.9869074
397,98,8635165.154734952
397,99,9893439.933298292
397,100,9517728.87176087
397,101,8362064.370478077
397,102,9513645.168209538
397,103,9707056.576516328
397,104,8966749.59212153
397,105,9714815.148739938
397,106,9623287.998271042
397,107,8521034.871992972
397,108,9215047.380887786
397,109,9561286.503922476
397,110,9946143.79192848
397,111,9033623.098737981
397,112,9347164.173437381
397,113,9013400.832537565
397,114,9451889.8775046
397,115,9084022.700433996
397,116,9270073.909630729
397,117,9535355.542195436
397,118,9191028.83661
397,119,8788721.698651787
397,120,8281055.351778353
397,121,8954473.286170168
397,122,9062696.297585128
397,123,9209168.797810549
397,124,9565275.006224155
397,125,9427023.823102506
397,126,8333457.713495322
397,127,9166723.134032
397,128,9159984.038259994
397,129,8841406.666778676
397,130,9475181.851241315
397,131,8967569.805742424
397,132,8897747.445995497
397,133,9665880.67890051
397,134,8784620.418565363
397,135,9274851.262744479
397,136,9702489.386142127
397,137,9751408.18763366
397,138,9865949.515674008
397,139,9296083.746521762
397,140,9512905.672379471
397,141,8530195.859170748
397,142,9076936.996860774
397,143,9028637.114057
397,144,9501059.6699349
397,145,9455209.480379026
397,146,8869173.375781216
397,147,9640122.970107868
397,148,9770303.897020234
397,149,8598039.45787106
397,150,9971660.902918871
397,151,9725325.405584278
397,152,9567205.003635209
397,153,9347551.939847438
