ScenarioID,Iteration,0
314,0,13871256.49972768
314,1,14078893.560027868
314,2,14033662.326895727
314,3,13870338.620268662
314,4,14095878.419177862
314,5,13774281.521978607
314,6,14130388.030030323
314,7,13611959.439175006
314,8,13948211.46763035
314,9,13860141.556603823
314,10,14330308.295844907
314,11,13539494.208221763
314,12,14020756.798971647
314,13,14110974.537381707
314,14,14183898.884145217
314,15,14050555.20134658
314,16,13770448.123263866
314,17,13792307.76515324
314,18,13887082.926540338
314,19,13517342.45239671
314,20,13696367.663804945
314,21,13752427.428093018
314,22,13781587.52566385
314,23,13580257.522730343
314,24,13937797.65819905
314,25,14142893.11881281
314,26,13713856.464863589
314,27,13927738.078996815
314,28,13929687.022275534
314,29,13983243.417957494
314,30,13585295.897623165
314,31,13721575.379770154
314,32,13772507.409006536
314,33,14413838.598214975
314,34,13293461.02838549
314,35,13415931.153047295
314,36,13823973.479425112
314,37,13716938.060578462
314,38,13765315.45307551
314,39,14046294.037948549
314,40,13860739.422912814
314,41,13485495.486677099
314,42,14186778.378364833
314,43,13764324.47563692
314,44,13844634.054972306
314,45,13774714.618591048
314,46,13033844.736776276
314,47,14185847.944524033
314,48,13824704.18879972
314,49,13754681.122354861
314,50,13848270.208176518
314,51,13830693.72291339
314,52,14172709.117412573
314,53,13550758.986434313
314,54,13743514.95193783
314,55,13924700.081641337
314,56,13563735.09799741
314,57,13837658.873276364
314,58,14004921.820492586
314,59,13858689.637223657
314,60,14055463.647843605
314,61,13728106.821992842
314,62,13871879.581494642
314,63,14056072.318673741
314,64,14170330.002876345
314,65,13956496.051998576
314,66,13327406.104205383
314,67,13742820.759604411
314,68,13657214.837861763
314,69,13682110.498047754
314,70,14024414.624612972
314,71,13479580.33404105
314,72,13585946.184959712
314,73,14343771.718129428
314,74,13107067.882431002
314,75,13795068.795130502
314,76,13619730.019266978
314,77,14413375.08193493
314,78,14021976.591630286
314,79,14141249.699094424
314,80,14090243.190959947
314,81,13565773.78733643
314,82,13839383.980825644
314,83,13786534.130859219
314,84,14056490.380767222
314,85,13735334.523860391
314,86,13803397.206643403
314,87,13220007.453761341
314,88,13488762.405510077
314,89,13939555.038161086
314,90,14275422.665019862
314,91,14282270.43229085
314,92,14139639.683727676
314,93,13489084.854534522
314,94,13985525.42444947
314,95,13781137.903937139
314,96,13147699.310092231
314,97,13795178.20136553
314,98,13518805.979993928
314,99,13847937.939909559
314,100,13745948.448126199
314,101,13903565.194807827
314,102,14365661.879040146
314,103,13746167.096816717
314,104,13976097.296562186
314,105,13498221.58492459
314,106,14333997.409967894
314,107,13569739.836991144
314,108,13751123.339026086
314,109,13549630.61876598
314,110,14099690.401380997
314,111,13874125.587051827
314,112,13475776.484893985
314,113,13838590.180253247
314,114,13858057.742418218
314,115,14007379.611209886
314,116,14013673.629442764
314,117,13709087.371355832
314,118,13021597.134938207
314,119,13923583.603606159
314,120,13916481.029828822
314,121,13843568.001967447
314,122,13877615.837815195
314,123,13873649.551150506
314,124,14220028.032315575
314,125,14187900.697549114
314,126,13967228.939260658
314,127,14202860.614299854
314,128,14008607.906570232
314,129,13872877.328309918
314,130,13952209.433284314
314,131,13796756.088262018
314,132,13878930.254068758
314,133,14051117.374335285
314,134,13495418.328679007
314,135,13818704.608918004
314,136,14234570.651524108
314,137,13867401.235908473
314,138,13601714.54466938
314,139,13956182.998912958
314,140,14070776.950300623
314,141,14132023.478373675
314,142,14079882.33322197
314,143,13919444.79917233
314,144,13731345.168118265
314,145,13812761.774113804
314,146,14297983.7554205
314,147,13888424.889458586
314,148,13845095.038175104
314,149,14000963.965910614
314,150,14326025.145056425
314,151,13938841.962648919
314,152,14167432.081857048
314,153,13619206.134320047
314,154,13932634.889115116
314,155,14098791.082260353
314,156,13685069.106061146
314,157,14310443.53293166
314,158,13761066.772933085
314,159,14123123.898086153
314,160,13126041.54598993
314,161,13383813.51887787
314,162,13876761.4796475
314,163,13881391.516111637
314,164,14032873.379822353
314,165,13931594.479090061
314,166,13752190.67538954
314,167,13811310.27404697
314,168,14025380.219459884
314,169,13745892.818028225
314,170,13761059.963200862
314,171,13429739.36362569
314,172,13756748.492731353
314,173,13791319.06911577
314,174,13521130.003502643
314,175,13927817.438887458
314,176,14164712.659254044
314,177,13731645.293322837
314,178,13649451.71539159
314,179,13192258.342494873
314,180,13311989.887499401
314,181,14040599.39077093
314,182,13775558.62367232
314,183,13680443.046820045
314,184,13993651.452321595
314,185,13901089.341107795
314,186,14234599.38544671
314,187,13855868.569618596
314,188,13851778.46222189
314,189,13572942.151743617
314,190,13514694.398283476
314,191,14218276.383349571
314,192,13982320.344908109
314,193,14037242.11725475
314,194,14043147.386030689
314,195,13993268.66244003
314,196,13767301.154771347
314,197,13766816.975910675
314,198,13633194.592430515
314,199,14006367.71553937
314,200,13692373.084305838
314,201,13493458.560914459
314,202,13925345.618073797
314,203,13839142.928664003
314,204,13460217.230975684
314,205,13761724.927514382
314,206,13597000.020438578
314,207,13677689.327751346
314,208,13963196.428148028
314,209,13923451.613618696
314,210,13713838.506498052
314,211,13756957.00697229
314,212,13978474.669912139
314,213,13315426.308635697
314,214,13805779.268181987
314,215,14197380.540825646
314,216,13670731.661964511
314,217,13789245.114783145
314,218,14120386.551705534
314,219,13704508.661484798
314,220,13955101.793354336
314,221,14072628.87633456
314,222,13430289.139337178
314,223,14145117.040360853
314,224,13971683.315834483
314,225,13732535.981200475
314,226,14208096.214919757
314,227,13681954.31388289
314,228,13157763.196806673
314,229,13886445.75274299
314,230,14070366.23314245
314,231,13480046.737921303
314,232,13712714.282622227
314,233,13497246.535217213
314,234,14208670.547932427
314,235,13976892.535363479
314,236,13510223.300265757
314,237,13242233.024886327
314,238,14064061.043701384
314,239,13323856.358297648
314,240,13933823.01256685
314,241,13604775.86012137
314,242,13746620.329531878
314,243,14486446.212575903
314,244,14027053.258257419
314,245,13764832.662615823
314,246,13968496.332697233
314,247,13813540.52199471
314,248,13771137.911247246
314,249,13756296.856819049
314,250,13859283.704609502
314,251,13444416.013016528
314,252,13809401.325297019
314,253,13729869.683893986
314,254,14000039.297739018
314,255,13996444.047184357
314,256,13997871.998299558
314,257,14078414.160584621
314,258,14021738.295893127
314,259,13784384.7979083
314,260,13493096.939383566
314,261,13954955.46148602
314,262,13299682.064987728
314,263,13971086.03097256
314,264,13622133.419154996
314,265,13591528.171679439
314,266,13811104.582686016
314,267,13952536.231713053
314,268,14217330.243599178
314,269,14180966.086682962
314,270,14077434.032827161
314,271,13724865.602332149
314,272,13968977.511379218
314,273,14097599.068735486
314,274,13893681.612376139
314,275,13865822.37810423
314,276,13408909.908198075
314,277,13548142.95915676
314,278,13761128.254100678
314,279,14107066.745473959
314,280,14031553.269875435
314,281,13729145.590884166
314,282,14020326.853641607
314,283,13961334.388956863
314,284,13722599.879421106
314,285,13950195.629647309
314,286,14021508.426936194
314,287,13544702.514500719
314,288,13852743.918675007
314,289,14388887.103511335
314,290,13098234.21746285
314,291,13757344.891685564
314,292,14084999.523086216
314,293,14181638.837533338
314,294,13713231.766097708
314,295,14054476.94205119
314,296,12746207.986775951
314,297,13336155.716849815
314,298,14121444.07384409
314,299,13763195.405871576
314,300,14099732.39400911
314,301,14089076.984919362
314,302,13835450.753512904
314,303,13788463.655891057
314,304,13974740.14389705
314,305,13847095.209971676
314,306,13767271.912066247
314,307,13567947.26918179
314,308,13538757.395220077
314,309,13830442.70611487
314,310,14486852.37674595
314,311,13699975.658565646
314,312,14088255.93294272
314,313,13929572.254818348
314,314,13822477.294225464
314,315,13957118.21450547
314,316,13895777.196335081
314,317,13974289.217687095
314,318,13905379.941288337
314,319,13818954.310101142
314,320,13581838.524825372
314,321,14101632.955233343
314,322,13762545.28467985
314,323,13912284.581481338
314,324,14028001.883887425
314,325,14266201.41452051
314,326,14000996.151321067
314,327,13773570.095194204
314,328,14471630.271727256
314,329,14137234.1530539
314,330,13897708.52019585
314,331,13640352.072292922
314,332,13368513.559180502
314,333,13815745.87749203
314,334,13977990.163463293
314,335,13703944.145457683
314,336,13671281.373444887
314,337,13912021.274598429
314,338,13316270.166040942
314,339,13879753.631759552
314,340,13853049.475723578
314,341,13919960.47743371
314,342,14293063.200025944
314,343,14291551.158834064
314,344,13605750.210729284
314,345,14092005.906380793
314,346,13669384.369796392
314,347,13784097.949267458
314,348,14092559.638554674
