Name,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,b,Version,Date,cost_components
Units,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,,,
[0],cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,IAM ashrae,,,
PERC_2023_M6,Mono-c-Si,0.7,428.4,,1.92,,,72,10.5,51.13,9.94,43.09,0.0065,-0.131966667,45.6,1.95,10.5,4.27E-11,0.2,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
PERC_2023_M10,Mono-c-Si,0.7,551.48,,2.583252,2.278,1.134,72,13.624,51.28,12.91,42.71,0.0065,-0.131466667,45.6,1.95,13.63,5.13E-11,0.2,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
LPERC_2023_M10,Mono-c-Si,0.7,564.9,,2.583252,2.278,1.134,72,13.624,52.33,12.92,43.71,0.0065,-0.127966667,45.6,1.95,13.63,3.00E-11,0.2,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
PERC_2025_M10,Mono-c-Si,0.7,560.07,,2.583252,2.278,1.134,72,13.624,51.95,12.92,43.33,0.0065,-0.129233333,45.6,1.95,13.63,3.64E-11,0.19,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
LPERC_2025_M10,Mono-c-Si,0.7,569.48,,2.583252,2.278,1.134,72,13.624,52.68,12.93,44.04,0.0065,-0.1268,45.6,1.95,13.63,2.50E-11,0.19,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
PERC_2028_M10,Mono-c-Si,0.7,565.08,,2.583252,2.278,1.134,72,13.625,52.34,12.93,43.72,0.0065,-0.127933333,45.6,1.95,13.63,2.98E-11,0.18,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
LPERC_2028_M10,Mono-c-Si,0.7,575.49,,2.583252,2.278,1.134,72,13.635,53.12,12.95,44.45,0.0065,-0.125333333,45.6,1.95,13.64,2.00E-11,0.18,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
PERC_2031_M10,Mono-c-Si,0.8,575.13,,2.583252,2.278,1.134,72,13.635,52.7,12.95,44.4,0.0065,-0.126733333,45.6,1.95,13.64,2.48E-11,0.17,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
LPERC_2031_M10,Mono-c-Si,0.8,580.32,,2.583252,2.278,1.134,72,13.645,52.99,12.97,44.74,0.0065,-0.125766667,45.6,1.925,13.65,1.50E-11,0.17,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
TOPCON_2023_M6,Mono-c-Si,,,,1.92,,,72,,,,,0.0065,-0.3024,45.6,1.9,10.5,1.21E-11,0.25,500,10,-0.406,N,0.04,,,"[(33,'watt')]"
TOPCON_2023_M10,Mono-c-Si,0.9,566.74,,2.583252,2.278,1.134,72,13.623,53.04,12.93,43.84,0.0065,-0.1256,45.6,1.925,13.63,1.46E-11,0.25,500,10,-0.406,N,0.04,,,"[(33,'watt')]"
TOPCON_2025_M10,Mono-c-Si,0.9,573.47,,2.583252,2.278,1.134,72,13.623,53.44,12.93,44.34,0.0065,-0.124266667,45.6,1.925,13.63,1.19E-11,0.24,500,10,-0.406,N,0.04,,,"[(33,'watt')]"
TOPCON_2028_M10,Mono-c-Si,0.9,585.68,,2.583252,2.278,1.134,72,13.644,54.06,12.97,45.17,0.0065,-0.1222,45.6,1.925,13.65,8.61E-12,0.22,500,10,-0.406,N,0.04,,,"[(33,'watt')]"
TOPCON_2031_M10,Mono-c-Si,0.9,593.33,,2.583252,2.278,1.134,72,13.664,54.33,13,45.66,0.0065,-0.1213,45.6,1.925,13.67,7.50E-12,0.2,500,10,-0.406,N,0.04,,,"[(33,'watt')]"
HJT_2023_M6,Mono-c-Si,,,,1.92,,,72,,,,,0.0065,-0.3024,45.6,1.9,11.3,8.27E-12,0.2,500,10,-0.406,N,0.04,,,"[(32,'watt')]"
HJT_2023_M10,Mono-c-Si,0.9,575.2,,2.583252,2.278,1.134,72,13.595,53.08,12.92,44.52,0.0065,-0.125466667,45.6,1.9,13.6,9.94E-12,0.2,500,10,-0.406,N,0.04,,,"[(32,'watt')]"
HJT_2025_M10,Mono-c-Si,0.9,584.57,,2.583252,2.278,1.134,72,13.595,53.67,12.93,45.21,0.0065,-0.1235,45.6,1.9,13.6,7.29E-12,0.19,500,10,-0.406,N,0.04,,,"[(32,'watt')]"
HJT_2028_M10,Mono-c-Si,0.9,589.91,,2.583252,2.278,1.134,72,13.595,53.95,12.94,45.59,0.0065,-0.122566667,45.6,1.9,13.6,6.29E-12,0.18,500,10,-0.406,N,0.04,,,"[(32,'watt')]"
HJT_2031_M10,Mono-c-Si,0.9,595.77,,2.583252,2.278,1.134,72,13.595,54.27,12.94,46.03,0.0065,-0.1215,45.6,1.9,13.6,5.30E-12,0.17,500,10,-0.406,N,0.04,,,"[(32,'watt')]"
Longi LR5-72HBD-545M,Mono-c-Si,0.8,545,417.6,2.556048,2.256,1.133,72,13.46,50.85,12.65,43.1,0.0061916,-0.127125,45,2.02,13.465,1.55E-10,0.15,400,10,-0.406,N,0.04,,,"[(31,'watt')]"
Longi LR5-72HBD-570M,Mono-c-Si,0.8,570,435.8,2.556048,2.256,1.133,72,13.81,51.6,13,43.85,0.0063526,-0.129,45,2.03,13.8135,1.25E-10,0.13,350,10,-0.406,N,0.04,,,"[(31,'watt')]"
