ScenarioID,Elec Hardware,Elec Install,Modules,Mount Hardware,Mount Install,Site Other
MAV PERC 2024,1340096.4000000004,451880.50608000014,4824347.04,1541502.9000000001,546895.7999999999,926684.523
SAT PERC 2024,747103.743,251923.3821396,2689573.4748000004,1331694.675,2281019.724,926684.523
