ScenarioID,Elec Hardware,Elec Install,Modules,Mount Hardware,Mount Install,Site Other
MAV PERC 2026,1370043.2340000002,461978.57850480004,3397762.0220493604,1551779.586,550541.772,926684.523
SAT PERC 2026,772350.53175,260436.59930609996,1915460.21276127,1355581.5750000002,2321934.876,926684.523
