ScenarioID,Elec Hardware,Elec Install,Modules,Mount Hardware,Mount Install,Site Other
MAV HJTa 2028,1428418.1519999998,481662.6008543999,2711613.0871937107,1520949.5280000002,539603.856,926684.523
SAT HJTa 2028,774530.7884999999,261171.78188219998,1470317.231400644,1277949.1500000001,2188960.632,926684.523
