,CurrencyID 2 To_AUD,ComponentID 33 AnnualMultiplier,ComponentID 34 AnnualMultiplier,ComponentID 35 AnnualMultiplier,ComponentID 36 AnnualMultiplier,ComponentID 37 AnnualMultiplier,ComponentID 38 AnnualMultiplier,ComponentID 39 AnnualMultiplier,ComponentID 40 AnnualMultiplier,ComponentID 41 AnnualMultiplier,ComponentID 42 AnnualMultiplier,ComponentID 45 AnnualMultiplier,ComponentID 46 AnnualMultiplier,ComponentID 33 BaselineCost,ComponentID 34 BaselineCost,ComponentID 35 BaselineCost,ComponentID 36 BaselineCost,ComponentID 39 BaselineCost,ComponentID 40 BaselineCost,ComponentID 41 BaselineCost,SystemComponentID 163 UsageAnnualMultiplier,SystemComponentID 164 UsageAnnualMultiplier,SystemComponentID 165 UsageAnnualMultiplier,SystemComponentID 166 UsageAnnualMultiplier,SystemComponentID 167 UsageAnnualMultiplier,SystemComponentID 168 UsageAnnualMultiplier,SystemComponentID 169 UsageAnnualMultiplier,SystemComponentID 170 UsageAnnualMultiplier,SystemComponentID 171 UsageAnnualMultiplier,SystemComponentID 172 UsageAnnualMultiplier,SystemComponentID 163 Usage,SystemComponentID 168 Usage,ScenarioSystemID 2 InstallNumber,ScenarioSystemID 3 InstallNumber,ScenarioSystemID 7 InstallNumber,ScenarioSystemID 10 InstallNumber,ScenarioSystemID 11 InstallNumber,ScenarioSystemID 14 InstallNumber,ScenarioSystemID 18 InstallNumber,ScenarioSystemID 19 InstallNumber,ScenarioSystemID 22 InstallNumber,ScenarioSystemID 23 InstallNumber,MAV_non_avail,MAV_tol_mismatch,MAV_soiling_modifier,MAV_degr_yr1,MAV_degr_annual,MAV_ave_temp_increase,SAT_non_avail,SAT_tol_mismatch,SAT_soiling_modifier,SAT_bifaciality_modifier,SAT_degr_yr1,SAT_degr_annual,discounted_ghi,MAV_PERCa_2028_NPV,variance,range,10th percentile,50th percentile,90th percentile
ScenarioSystemID 18 InstallNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15.33 - 15.33,15.33,15.33,15.33
ScenarioSystemID 19 InstallNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15325713.9 - 15325713.9,15325713.9,15325713.9,15325713.9
ScenarioSystemID 22 InstallNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23.07 - 23.07,23.07,23.07,23.07
ScenarioSystemID 23 InstallNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23068670.4 - 23068670.4,23068670.4,23068670.4,23068670.4
MAV_non_avail,0.0286750591741919,0.026062269254317955,0.031053843578347298,-0.011717258198968128,-0.040762412132111354,-0.0710350837933166,-0.0022343132931070472,0.07100986810566448,0.009236380220613075,-0.030156205689106715,-0.004520185853738653,-0.08715934704400526,-0.0022008759361312274,0.031835649294556144,-0.06280877520957212,-0.015136360511621727,,,,,0.008433018702131721,-0.015158596473370832,0.018371612456112407,0.034582616821011755,0.023076657082284506,-0.06023061094618409,0.011884197255091542,0.008456146084686795,-0.05487171321179216,-0.039342788220459585,,,,,,,,,,,,,1.0,-0.004651252591378178,-0.02698595140767925,-0.041922647100692254,0.0023472113359376996,-0.050806243260820776,0.893603248249501,-0.037511217374873486,-0.02698595140767925,0.005999300357112213,-0.041922647100692254,0.01280255775966491,0.05756933320241433,-0.03801647227953438,0,0.11 - 0.9,0.11,0.53,0.9
MAV_tol_mismatch,0.012449221590387673,0.030938007819050966,0.03739889468801532,0.021626885064583632,-0.06952781475810386,-0.024399188904037916,0.028876500028584266,-0.0017624797703942733,0.01277056256665661,0.11122041314275836,0.07088575132888404,-0.01797903026739317,0.007370255667251576,0.09289857055048166,-0.03396876340460832,0.017659726361640378,,,,,-0.04925017783953529,0.030555227559569638,-0.014446172671680472,0.000770968687061949,0.045415505976691126,-0.006580155265989148,0.07722353270558671,0.01365846615520426,0.09106658750999312,-0.03105977362817057,,,,,,,,,,,,,-0.004651252591378178,1.0,0.003364002908563622,0.03466860054136797,0.05266032354188787,0.0078813558611101,-0.026211607542816966,0.8948436365477908,0.003364002908563622,-0.01936862987647111,0.03466860054136797,0.08855350012444532,0.04114070385442708,-0.07428280169188828,1,0.31 - 1.19,0.31,0.75,1.19
MAV_soiling_modifier,0.005304263085938317,-0.013762592346474296,0.10991687533443364,-0.06042202035861854,-0.04549434654678227,-0.08967688820686044,0.036187280595443655,0.046252552360024825,-0.018708785556049816,0.023379932048865418,0.0562537583922741,0.04861733328655668,0.09019695789593038,-0.0701170826246069,-0.030342725148552057,-0.014797438059796667,,,,,-0.027921707183347994,0.010038977703431035,0.02512808264251819,-0.005635475925775804,-0.019124147075026632,-0.0677552063165396,-0.0065779946507166,-0.02046082207346816,-0.019676975044181165,-0.02782648195147465,,,,,,,,,,,,,-0.02698595140767925,0.003364002908563622,1.0,-0.007968345331355061,-0.024599884380346812,0.04858925482609439,-0.013612742532135557,0.036076648024740705,1.0,0.002958371954475521,-0.007968345331355061,-0.04675761862765371,0.04231188395948716,0.003128017594919417,0,0.92 - 1.08,0.92,1.0,1.08
MAV_degr_yr1,-0.0019408104462352675,0.01526866868386831,0.005161231032501951,0.014925639886662427,-0.01803219468829742,0.08792665717331916,-0.04359754501286966,0.03597881164897864,-0.02484416282324077,0.037849512390476056,-0.08551763340144962,0.019569982995854752,-0.0645938007627278,0.047803667199287345,0.03837628684679088,-0.03522970061865309,,,,,0.05992391896029525,0.016967854896660382,-0.02433141227120035,-0.011233770312853643,-0.05428131398690863,0.08975927340420908,-0.08476893758183461,0.03458929007029929,0.021648575482279477,0.0066739145592313994,,,,,,,,,,,,,-0.041922647100692254,0.03466860054136797,-0.007968345331355061,1.0,0.051862362359062976,-0.06077721098592951,-0.08263226878605356,0.05295601849061792,-0.007968345331355146,-0.002253050077777716,1.0,0.004629525510904378,0.0807214893440623,-0.0294545331086426,0,0.12 - 0.28,0.12,0.2,0.28
MAV_degr_annual,0.029438059051681262,-0.02284540910388479,0.0003690734182503781,-0.047674402097301616,0.016443953399252895,0.07442786051808992,0.07590052870792684,0.023970035104161472,-0.00500068839001654,-0.1220912674343259,0.029997648975167233,0.091110065322568,-0.11639136068074789,0.03325737281807193,0.017198795945297263,-0.0035720256019129656,,,,,0.0543142509759493,-0.056784427077951914,0.02365067320560678,0.005698416118234737,0.07080244168637383,0.04582504225319383,0.022751194327268683,-0.022495054553078948,0.008741618953202794,-0.04633803557347299,,,,,,,,,,,,,0.0023472113359376996,0.05266032354188787,-0.024599884380346812,0.051862362359062976,1.0,-0.0010400154211946597,-0.0015632360813638254,0.08597099929078354,-0.02459988438034681,-0.008388659194961467,0.051862362359062976,0.8157951548847197,0.02887515678300049,-0.01101376501509536,0,0.62 - 0.88,0.62,0.76,0.88
MAV_ave_temp_increase,-0.08952525126921397,-0.03962856633479606,0.01825321510735817,-0.05418808613002832,-0.04474349707098378,0.03885012577457206,0.08529611966127108,-0.07844556474402097,0.10528557673600775,0.04413881263559424,0.0691970200491466,-0.03738985287482708,0.03650862972429575,-0.07242997075202025,0.05960965882963451,-0.02031605866564356,,,,,0.01267595251460272,0.006984938822511084,-0.07842580827472177,-0.03466692398925298,0.09861352211725533,-0.006949029386112693,-0.028763118222287228,0.0020246558415294436,0.029933338775451217,0.06711439015994215,,,,,,,,,,,,,-0.050806243260820776,0.0078813558611101,0.04858925482609439,-0.06077721098592951,-0.0010400154211946597,1.0,-0.047712650479067226,0.03289739802437514,0.04858925482609439,0.05963838229914814,-0.06077721098592952,-0.021203234113343072,0.028650402995192028,0.052584154056440534,0,1.23 - 13.47,1.23,7.17,13.47
SAT_non_avail,0.0069940197557401525,0.023776678972556184,0.033087696395559536,0.016597999960996875,0.017066392602154354,-0.05334459918445227,-0.03130507537307413,0.0639205674088533,-0.003808403526615331,-0.0023860156795123114,-0.003553260365107606,-0.06613679476264137,0.005217393395283157,-0.01954666467755695,-0.027137988666515647,-0.02604830535718731,,,,,-0.01639388545800763,-0.027402024023838303,-0.021376406029629254,0.02932985716163486,0.024572653488279035,-0.05428605128975681,0.03041898320714721,0.02745274642881536,-0.029653443567327905,-0.045460106178382254,,,,,,,,,,,,,0.893603248249501,-0.026211607542816966,-0.013612742532135557,-0.08263226878605356,-0.0015632360813638254,-0.047712650479067226,1.0,-0.05158400486833643,-0.013612742532135617,-0.011688065089726196,-0.08263226878605352,0.011789456053086008,0.04500295568029252,-0.0007946602501662069,0,0.29 - 1.19,0.29,0.76,1.19
SAT_tol_mismatch,0.024677802714557565,0.00639587229606344,0.010039754794774848,0.013702946642518744,-0.06226077586801645,0.00607390136617331,0.030915605680195062,-0.0010325216484083192,-0.0054067158626648695,0.12126774529681321,0.05527574425250238,-0.03306279623951925,-0.03567128242753566,0.06892751389310428,-0.013614860991726232,0.0327955232632822,,,,,-0.025531006841809593,0.03703163211497766,-0.0026554445238621623,0.011890653257744313,0.06837825137913851,-0.03357117159784707,0.08209520891284208,-0.006895168751776775,0.10794562468169032,-0.027813950656307266,,,,,,,,,,,,,-0.037511217374873486,0.8948436365477908,0.036076648024740705,0.05295601849061792,0.08597099929078354,0.03289739802437514,-0.05158400486833643,1.0,0.0360766480247407,-0.03273221794169191,0.0529560184906179,0.11988764932260672,0.033859978230986784,-0.0554130976643546,0,0.09 - 0.89,0.09,0.5,0.89
SAT_soiling_modifier,0.005304263085938317,-0.013762592346474296,0.10991687533443364,-0.06042202035861854,-0.04549434654678227,-0.08967688820686044,0.036187280595443655,0.046252552360024825,-0.018708785556049816,0.023379932048865418,0.0562537583922741,0.04861733328655668,0.09019695789593038,-0.0701170826246069,-0.030342725148552057,-0.014797438059796667,,,,,-0.027921707183347994,0.010038977703431035,0.02512808264251819,-0.005635475925775804,-0.019124147075026632,-0.0677552063165396,-0.0065779946507166,-0.02046082207346816,-0.019676975044181165,-0.02782648195147465,,,,,,,,,,,,,-0.02698595140767925,0.003364002908563622,1.0,-0.007968345331355146,-0.02459988438034681,0.04858925482609439,-0.013612742532135617,0.0360766480247407,1.0,0.002958371954475521,-0.007968345331355061,-0.04675761862765371,0.04231188395948716,0.003128017594919417,0,0.92 - 1.08,0.92,1.0,1.08
SAT_bifaciality_modifier,-0.04992993660268591,-0.004680793533695475,0.04703612386662848,-0.06935340299911066,-0.00048076248738079114,-0.04534235439979887,-0.015813180944990724,-0.011134808260645916,0.03887525904906822,-0.001392084083932926,0.030013184415637714,-0.014918684671978938,0.07610675655343721,0.016773640878571652,0.012617152723284205,-0.0795627981352071,,,,,-0.01749878313551595,-0.08847646540717902,-0.09605561875858368,0.046950655523894255,-0.035211513416698335,0.07102141838361144,-0.03509079662104417,-0.037461235080158244,0.0243489447861598,0.0746627972598781,,,,,,,,,,,,,0.005999300357112213,-0.01936862987647111,0.002958371954475521,-0.002253050077777716,-0.008388659194961467,0.05963838229914814,-0.011688065089726196,-0.03273221794169191,0.002958371954475521,1.0,-0.0022530500777777048,0.012910100019378198,-0.017370527511034857,0.021353319566709415,0,0.83 - 1.03,0.83,0.93,1.03
SAT_degr_yr1,-0.0019408104462352675,0.01526866868386831,0.005161231032501951,0.014925639886662427,-0.01803219468829742,0.08792665717331916,-0.04359754501286966,0.03597881164897864,-0.02484416282324077,0.037849512390476056,-0.08551763340144962,0.019569982995854752,-0.0645938007627278,0.047803667199287345,0.03837628684679088,-0.03522970061865309,,,,,0.05992391896029525,0.016967854896660382,-0.02433141227120035,-0.011233770312853643,-0.05428131398690863,0.08975927340420908,-0.08476893758183461,0.03458929007029929,0.021648575482279477,0.0066739145592313994,,,,,,,,,,,,,-0.041922647100692254,0.03466860054136797,-0.007968345331355061,1.0,0.051862362359062976,-0.06077721098592952,-0.08263226878605352,0.0529560184906179,-0.007968345331355061,-0.0022530500777777048,1.0,0.004629525510904378,0.0807214893440623,-0.0294545331086426,0,0.12 - 0.28,0.12,0.2,0.28
SAT_degr_annual,0.014990233457817252,-0.008836383253941727,-0.017396126821727136,-0.01077189762017758,0.04342435804572704,0.07642324817444066,0.08067567029708599,0.023472648946875577,0.003966869679967483,-0.09378798090744556,0.027967840481449457,0.10204050118148406,-0.049743151539207775,-0.0022701596630585914,0.022500249846193598,0.014573624805344906,,,,,0.05155858854363124,-0.03510422984368521,0.01716902560488402,-0.019052702162702495,0.06487968976722089,0.04410679726365783,0.05207801131313596,-0.04661034633374333,0.03376301058937372,-0.012958175583224802,,,,,,,,,,,,,0.01280255775966491,0.08855350012444532,-0.04675761862765371,0.004629525510904378,0.8157951548847197,-0.021203234113343072,0.011789456053086008,0.11988764932260672,-0.04675761862765371,0.012910100019378198,0.004629525510904378,1.0,0.04566105713656429,-0.014957131401520003,0,0.43 - 0.67,0.43,0.55,0.67
discounted_ghi,0.03567021987480898,-0.023134115555674597,0.07579774718066762,-0.030822843163077186,-0.03164311384626424,0.010657570952120575,-0.03930694369491033,-0.011226249379370778,0.0041387196240159066,-0.009352625335857494,0.003945368132041576,0.05778323488447882,0.014457379656734687,0.012243200847022682,-0.047267510457029316,-0.017602623458541918,,,,,-0.05292715592792881,-0.011258811164540323,-0.01911524010194306,0.03391928450181945,0.03530928147134615,-0.03312938632992755,0.018926095798587575,0.009822345640077121,0.06946832851876512,0.05380294561156399,,,,,,,,,,,,,0.05756933320241433,0.04114070385442708,0.04231188395948716,0.0807214893440623,0.02887515678300049,0.028650402995192028,0.04500295568029252,0.033859978230986784,0.04231188395948716,-0.017370527511034857,0.0807214893440623,0.04566105713656429,1.0,0.02437088394233938,0,2271981.41 - 2375496.39,2271981.41,2318752.9,2375496.39
MAV_PERCa_2028_NPV,-0.43830825453558897,-0.6228763147970802,-0.05131907419969616,-0.02404648417762923,0.09666083857482802,0.05390256692123826,0.018453554821868258,0.02750980785517638,-0.08377012224497249,-0.11005171298219217,-0.28076846662823923,-0.08172948017330554,-0.10006254240420547,-0.3763414476065096,-0.006452590149403585,0.007442356625819375,,,,,-0.38596423913199973,-0.12394652876101347,-0.06183032764950682,-0.03447503879852117,-0.009701116816432194,0.013828437669105145,0.024638625053135476,-0.10557698949534786,-0.05750530901556706,0.006653273826660328,,,,,,,,,,,,,-0.03801647227953438,-0.07428280169188828,0.003128017594919417,-0.0294545331086426,-0.01101376501509536,0.052584154056440534,-0.0007946602501662069,-0.0554130976643546,0.003128017594919417,0.021353319566709415,-0.0294545331086426,-0.014957131401520003,0.02437088394233938,1.0,100,54358721.0 - 56910210.54,54358721.0,55828011.42,56910210.54
